gamename,metacritic,reccount,IsFree,PCRECs,Price
Counter-Strike,88,68991,False,True,9.99
Team Fortress Classic,0,2439,False,True,4.99
Day of Defeat,79,2319,False,True,4.99
Deathmatch Classic,0,888,False,True,4.99
Half-Life: Opposing Force,0,2934,False,True,4.99
Ricochet,0,1965,False,True,4.99
Half-Life,96,12486,False,True,9.99
Counter-Strike: Condition Zero,65,7067,False,True,9.99
Counter-Strike: Condition Zero,65,7067,False,True,9.99
Half-Life: Blue Shift,71,2219,False,True,4.99
Half-Life 2,96,35792,False,False,9.99
Counter-Strike: Source,88,53931,False,True,19.99
Half-Life: Source,0,2547,True,True,9.99
Day of Defeat: Source,80,7185,False,True,9.99
Half-Life 2: Deathmatch,0,4328,False,True,4.99
Half-Life 2: Lost Coast,0,4352,True,True,0.0
Half-Life Deathmatch: Source,0,864,True,True,9.99
Half-Life 2: Episode One,87,4437,False,True,7.99
Portal,90,27535,False,True,9.99
Half-Life 2: Episode Two,90,6104,False,True,7.99
Team Fortress 2,92,383949,True,True,0.0
Left 4 Dead,89,9980,False,True,19.99
Left 4 Dead 2,89,140726,False,True,19.99
Dota 2,90,590480,True,True,0.0
Portal 2,95,73128,False,True,19.99
Alien Swarm,77,14625,True,True,0.0
Portal 2,95,73128,False,True,19.99
Counter-Strike: Global Offensive,83,1427633,False,True,14.99
Rag Doll Kung Fu,69,0,False,True,9.99
Red Orchestra: Ostfront 41-45,81,1220,False,True,9.99
Killing Floor,72,44364,False,True,19.99
SiN Episodes: Emergence,75,385,False,True,9.99
SiN Episodes: Emergence,75,385,False,True,9.99
SiN Episodes: Emergence,75,385,False,True,9.99
Darwinia,84,444,False,True,9.99
Uplink,75,1240,False,False,9.99
DEFCON,84,1655,False,True,9.99
Multiwinia,76,340,False,True,9.99
Dangerous Waters,82,112,False,True,14.99
Space Empires IV Deluxe,79,0,False,True,9.99
Jagged Alliance 2 Gold,0,0,False,True,19.99
Disciples II: Rise of the Elves,80,299,False,True,6.49
Disciples II: Galleans Return,84,400,False,True,6.49
Iron Warriors: T - 72 Tank Command,56,210,False,True,4.99
Space Empires V,68,204,False,True,14.99
Arx Fatalis,77,389,False,True,4.99
Source Filmmaker,0,10079,True,True,0.0
Earth 2160,73,412,False,True,4.99
Two Worlds Epic Edition,65,2399,False,True,9.99
Dark Messiah of Might & Magic,72,2776,False,True,9.99
Dark Messiah of Might & Magic,72,2776,False,True,9.99
Quake III Arena,0,656,False,True,14.99
Quake IV,81,509,False,True,14.99
Wolfenstein 3D,0,1061,False,True,4.99
Ultimate Doom,0,2000,False,True,4.99
Final DOOM,0,389,False,True,4.99
DOOM II,83,1279,False,True,4.99
QUAKE,94,1266,False,True,4.99
QUAKE II,0,660,False,True,4.99
QUAKE II Mission Pack: The Reckoning,0,0,False,True,2.99
QUAKE II Mission Pack: Ground Zero,0,0,False,True,2.99
QUAKE III: Team Arena,69,0,False,True,14.99
HeXen: Beyond Heretic,0,158,False,True,4.99
HeXen: Deathkings of the Dark Citadel,0,0,False,True,4.99
Heretic: Shadow of the Serpent Riders,0,241,False,True,4.99
The Ship: Murder Party,76,5026,True,True,9.99
The Ship: Single Player,0,706,False,True,0.0
Bloody Good Time,73,716,False,True,4.99
Shadowgrounds,74,973,False,True,6.99
Gumboy - Crazy Adventures(tm),69,0,True,True,4.99
Gumboy - Crazy Adventures(tm),69,0,True,True,4.99
RIP - Trilogy(tm),0,291,False,True,4.99
RIP - Trilogy(tm),0,291,False,True,4.99
RIP - Trilogy(tm),0,291,False,True,4.99
Vigil: Blood Bitterness(tm),61,129,True,True,0.0
Alpha Prime,59,984,False,True,4.99
Vampire: The Masquerade - Bloodlines,80,3983,False,True,19.99
GUN(tm),76,351,False,True,19.99
Call of Duty(r),91,851,False,True,19.99
Call of Duty(r) 2,86,1307,False,True,19.99
Call of Duty: United Offensive,87,318,False,True,19.99
RollerCoaster Tycoon(r) 3: Platinum,81,2579,False,True,19.99
Act of War: Direct Action,82,109,False,True,2.99
ThreadSpace: Hyperbol,0,0,False,True,9.99
ARMA: Combat Operations,74,181,False,True,7.99
X2: The Threat,72,183,False,True,4.99
X3: Reunion,71,280,False,True,9.99
X3: Terran Conflict,73,1262,False,True,15.99
X: Beyond the Frontier,67,136,False,True,4.99
X: Tension,0,0,False,True,4.99
X Rebirth,33,5637,False,True,29.99
688(I) Hunter/Killer,0,0,False,True,9.99
Fleet Command,0,0,False,True,9.99
Sub Command,84,0,False,True,9.99
FlatOut 2(tm),76,2870,False,True,9.99
GTI Racing,0,0,False,True,4.99
Xpand Rally,82,116,False,True,4.99
Call of Juarez(tm),72,501,False,True,9.99
Xpand Rally Xtreme,0,0,False,True,4.99
Men of War: Red Tide,77,228,False,True,4.99
Kings Bounty: Armored Princess,82,308,False,True,9.99
Painkiller: Black Edition,81,0,False,True,9.99
Genesis Rising,57,103,False,True,4.99
Safecracker: The Ultimate Puzzle Adventure,69,321,False,True,4.99
Painkiller Overdose,65,374,False,True,4.99
Bejeweled 2 Deluxe,0,0,False,True,4.99
Chuzzle Deluxe,0,0,False,True,4.99
Insaniquarium Deluxe,0,414,False,True,4.99
Zuma Deluxe,0,118,False,True,4.99
AstroPop Deluxe,0,0,False,True,4.99
Bejeweled Deluxe,0,0,False,True,4.99
Big Money! Deluxe,0,0,False,True,4.99
Dynomite Deluxe,0,0,False,True,4.99
Feeding Frenzy 2 Deluxe,0,159,False,True,4.99
Hammer Heads Deluxe,0,0,False,True,4.99
Heavy Weapon Deluxe,0,0,False,True,4.99
Iggle Pop Deluxe,0,0,False,True,4.99
Pizza Frenzy Deluxe,0,0,False,True,4.99
Rocket Mania Deluxe,0,0,False,True,4.99
Typer Shark! Deluxe,0,0,False,True,4.99
Talismania Deluxe,0,0,False,True,4.99
Peggle Deluxe,0,682,False,True,4.99
Peggle Extreme,0,618,True,True,0.0
Venice Deluxe,0,0,False,True,4.99
Mystery P.I.(tm) - The Lottery Ticket,0,0,False,True,4.99
Amazing Adventures The Lost Tomb(tm),0,0,False,True,4.99
Mystery P.I.(tm) - The Vegas Heist,0,0,False,True,4.99
Amazing Adventures Around the World,0,0,False,True,4.99
Peggle(tm) Nights,76,248,False,True,4.99
Bejeweled Twist,78,0,False,True,4.99
Mystery P.I.(tm) - The New York Fortune,0,0,False,True,4.99
The Wizards Pen(tm),0,0,False,True,4.99
