gameid,gamename,gamehours
0,Dota 2,4841
1,Team Fortress 2,2323
3,Unturned,1069
4,Left 4 Dead 2,801
8,Counter-Strike,568
10,Terraria,460
11,Portal 2,453
11,Portal 2,453
11,Portal 2,453
12,Warframe,424
13,Portal,417
13,Portal,417
14,Robocraft,407
15,PAYDAY 2,390
16,Borderlands 2,386
17,Half-Life 2,356
18,Heroes & Generals,335
19,War Thunder,303
22,Alien Swarm,289
24,Grand Theft Auto V,269
25,Trove,253
26,DayZ,246
27,No More Room in Hell,230
29,Grand Theft Auto IV,226
32,BioShock Infinite,212
34,PlanetSide 2,210
35,Rust,207
36,Tomb Raider,204
37,Left 4 Dead,204
38,Torchlight II,204
46,Magicka,193
48,Path of Exile,191
49,Killing Floor,191
51,Just Cause 2,186
54,Far Cry 3,181
57,Sniper Elite V2,177
58,Loadout,177
59,Metro 2033,175
60,Euro Truck Simulator 2,171
63,The Binding of Isaac,168
65,Fallout 4,167
69,Arma 3,157
78,Arma 2,147
78,Arma 2,147
78,Arma 2,147
79,Insurgency,146
80,Borderlands,146
81,Dishonored,145
82,Clicker Heroes,144
85,AdVenture Capitalist,141
88,APB Reloaded,138
91,Neverwinter,136
95,Starbound,132
97,Goat Simulator,130
98,Saints Row IV,129
99,The Forest,128
102,Super Meat Boy,125
103,theHunter,124
104,BLOCKADE 3D,120
108,TERA,118
110,Mafia II,116
111,Half-Life,116
121,Dungeon Defenders,111
122,The Walking Dead,111
125,HAWKEN,110
128,Bastion,107
132,Space Engineers,102
134,The Stanley Parable,99
136,Prison Architect,98
137,7 Days to Die,98
138,Natural Selection 2,97
138,Natural Selection 2,97
138,Natural Selection 2,97
140,Realm of the Mad God,96
141,Hotline Miami,94
142,Orcs Must Die! 2,94
143,Day of Defeat,94
145,Defiance,93
146,Max Payne 3,93
147,Cry of Fear,92
150,Besiege,91
151,Kerbal Space Program,90
153,Alan Wake,88
154,Company of Heroes 2,87
155,Banished,87
158,Dungeon Defenders II,85
159,Sleeping Dogs,85
160,LIMBO,84
165,Toribash,83
167,The Mighty Quest For Epic Loot,82
173,SMITE,80
174,Survarium,79
176,Fistful of Frags,79
177,Firefall,78
183,Crusader Kings II,76
185,RIFT,75
186,Torchlight,75
187,Risk of Rain,75
192,L.A. Noire,72
196,Outlast,71
197,Mark of the Ninja,71
198,Game Dev Tycoon,71
200,Magic Duels,70
202,Mass Effect,69
206,Awesomenauts,68
207,Guns of Icarus Online,68
211,Thief,68
213,Scribblenauts Unlimited,67
217,Source Filmmaker,66
221,Planetary Annihilation,66
222,RAGE,66
222,RAGE,66
222,RAGE,66
223,Mortal Kombat Komplete Edition,65
224,Brawlhalla,65
225,Dead Space,65
226,Spiral Knights,64
227,State of Decay,64
228,The Expendabros,64
229,Dino D-Day,64
231,Rogue Legacy,63
233,FINAL FANTASY VII,63
235,Orcs Must Die!,62
236,Tactical Intervention,62
238,Company of Heroes,62
246,sZone-Online,58
247,Titan Quest,58
251,GRID 2,57
252,Saints Row 2,57
254,Mass Effect 2,56
258,How to Survive,56
260,Crysis,55
263,Happy Wars,55
264,SpeedRunners,55
265,This War of Mine,54
266,Gear Up,54
266,Gear Up,54
266,Gear Up,54
270,Star Conflict,54
272,Sniper Elite 3,53
273,Sanctum 2,53
274,F.E.A.R. 3,53
280,Supreme Commander 2,52
281,FEZ,52
284,Hammerwatch,50
285,Universe Sandbox,50
286,POSTAL 2,50
287,Antichamber,50
288,Europa Universalis IV,50
290,Worms Reloaded,50
291,Star Trek Online,50
292,Fishing Planet,49
293,Reus,49
295,WARMODE,49
298,Contagion,49
304,Worms Revolution,48
305,Emily is Away,48
306,Killing Floor 2,48
307,Sakura Clicker,47
310,Stronghold Kingdoms,47
312,Block N Load,46
313,War of the Roses,46
320,Transformice,45
324,The Wolf Among Us,44
328,Red Faction Guerrilla Steam Edition,43
332,Homefront,43
338,Psychonauts,42
341,Pillars of Eternity,41
342,Brick-Force,41
344,Aura Kingdom,41
345,World of Goo,41
346,RACE 07,40
348,Shadowrun Returns,40
349,ArcheAge,40
350,Braid,40
351,Brothers - A Tale of Two Sons,40
353,BIT.TRIP RUNNER,40
355,Duke Nukem Forever,40
359,Resident Evil 6 / Biohazard 6,39
361,Sanctum,39
367,Metro 2033 Redux,38
368,Fallout 3,38
369,The Incredible Adventures of Van Helsing,38
370,Gunpoint,38
374,Mortal Kombat X,38
375,Everlasting Summer,38
376,Deadlight,38
377,Darkest Dungeon,37
378,VVVVVV,37
380,The Escapists,37
384,Project Zomboid,37
385,Stranded Deep,37
397,Only If,36
399,Fable - The Lost Chapters,36
402,Legend of Grimrock,35
404,The Darkness II,35
406,Moonbase Alpha,35
410,Spelunky,34
413,Super Crate Box,34
414,Machinarium,34
416,Transistor,34
418,Grand Theft Auto III,34
420,Codename CURE,34
421,Homeworld Remastered Collection,34
422,To the Moon,34
423,Beat Hazard,34
424,Tropico 5,33
426,WAKFU,33
428,Elite Dangerous,33
431,SpaceChem,33
433,Poker Night at the Inventory,33
437,The Lord of the Rings Online,33
437,The Lord of the Rings Online,33
438,DRAGON BALL XENOVERSE,32
439,Deathmatch Classic,32
440,Skullgirls,32
441,War Inc. Battlezone,32
442,Age of Wonders III,32
444,Shadow Warrior,32
444,Shadow Warrior,32
445,From Dust,32
446,BRINK,32
446,BRINK,32
446,BRINK,32
446,BRINK,32
446,BRINK,32
447,Undertale,32
448,Reign Of Kings,32
450,Nidhogg,32
451,Sonic & All-Stars Racing Transformed,32
455,Dear Esther,31
458,Space Pirates and Zombies,31
461,Ori and the Blind Forest,31
463,Guacamelee! Gold Edition,31
464,Dungeon Siege III,31
465,Guns and Robots,30
467,LEGO The Lord of the Rings,30
469,Enclave,30
472,Overlord II,29
473,The Long Dark,29
474,Cubic Castles,29
475,GRID Autosport,29
477,Two Worlds II,29
